0.0000000, 1.9131630, -5.7775468, 2.4733996, 0.0099961, 10.0000000, 0.0000000
0.1994807, 1.7898384, -5.9340543, 2.4748795, 0.0048722, 10.0000000, 0.0000000
0.3989613, 1.6665164, -6.0908722, 2.4753516, -0.0000763, 10.0000000, 0.0000000
0.5984420, 1.5431256, -6.2477735, 2.4748620, -0.0048114, 10.0000000, 0.0000000
0.7979227, 1.4197446, -6.4043609, 2.4735194, -0.0085195, 10.0000000, 0.0000000
0.9974033, 1.2959567, -6.5609181, 2.4715037, -0.0107604, 10.0000000, 0.0000000
1.1968840, 1.1719068, -6.7171340, 2.4694578, -0.0097580, 10.0000000, 0.0000000
1.3963647, 1.0475693, -6.8730967, 2.4677326, -0.0069905, 10.0000000, 0.0000000
1.5958453, 0.9229377, -7.0289824, 2.4666905, -0.0034227, 10.0000000, 0.0000000
1.7953260, 0.7982955, -7.1846664, 2.4663992, 0.0004953, 10.0000000, 0.0000000
1.9948066, 0.6736181, -7.3404258, 2.4668859, 0.0043736, 10.0000000, 0.0000000
2.1942873, 0.5490796, -7.4962902, 2.4681429, 0.0082268, 10.0000000, 0.0000000
2.3937680, 0.4248063, -7.6523461, 2.4701589, 0.0119750, 10.0000000, 0.0000000
2.5932486, 0.3009011, -7.8087050, 2.4729204, 0.0156692, 10.0000000, 0.0000000
2.7927293, 0.1774934, -7.9654395, 2.4764023, 0.0192468, 10.0000000, 0.0000000
2.9922100, 0.0546601, -8.1226823, 2.4805895, 0.0226684, 10.0000000, 0.0000000
3.1916906, -0.0673934, -8.2803918, 2.4854465, 0.0260232, 10.0000000, -3.8058697
3.3911713, -0.1887146, -8.4388452, 2.4909465, 0.0291091, 9.9237899, -9.3414535
3.5906520, -0.3090779, -8.5979535, 2.4970577, 0.0320571, 9.7342039, -9.1883861
3.7901326, -0.4283472, -8.7577285, 2.5037279, 0.0348667, 9.5440513, -9.0853092
3.9896133, -0.5466526, -8.9185301, 2.5109365, 0.0373244, 9.3522312, -8.9725452
4.1890940, -0.6636389, -9.0800459, 2.5186366, 0.0400907, 9.1588498, -8.8238532
4.3885746, -0.7793435, -9.2425144, 2.5269733, 0.0435219, 8.9646056, -8.4083391
4.5880553, -0.8937029, -9.4061054, 2.5362784, 0.0506392, 8.7755086, -7.9206513
4.7875360, -1.0062588, -9.5706330, 2.5472201, 0.0592387, 8.5935742, -7.4322370
4.9870166, -1.1169804, -9.7366596, 2.5599554, 0.0684397, 8.4192840, -7.0088207
5.1864973, -1.2254177, -9.9041713, 2.5745149, 0.0773047, 8.2515510, -6.6342854
5.3859780, -1.3311184, -10.0731093, 2.5907885, 0.0859928, 8.0895779, -6.3284522
5.5854586, -1.4340962, -10.2441447, 2.6087661, 0.0941441, 7.9319899, -6.0637455
5.7849393, -1.5337710, -10.4169604, 2.6283586, 0.1021243, 7.7779987, -5.8356006
5.9844199, -1.6297866, -10.5915521, 2.6494873, 0.1099738, 7.6268660, -5.6523853
6.1839006, -1.7221494, -10.7685857, 2.6721979, 0.1175246, 7.4775665, -5.4932162
6.3833813, -1.8102415, -10.9475482, 2.6964017, 0.1251186, 7.3295580, -5.3595103
6.5828619, -1.8937582, -11.1284699, 2.7220909, 0.1327311, 7.1822130, -5.2392267
6.7823426, -1.9726057, -11.3118907, 2.7493754, 0.1405980, 7.0351926, -5.1280025
6.9818233, -2.0462024, -11.4972661, 2.7782239, 0.1488320, 6.8882552, -5.0294851
7.1813039, -2.1142231, -11.6846262, 2.8087418, 0.1573954, 6.7410303, -4.9084597
7.3807846, -2.1763969, -11.8742577, 2.8411223, 0.1670869, 6.5941796, -4.7782915
7.5802653, -2.2321775, -12.0657301, 2.8754589, 0.1776954, 6.4480114, -4.6456445
7.7797459, -2.2811328, -12.2590345, 2.9120225, 0.1891390, 6.3026517, -4.4554766
7.9792266, -2.3227602, -12.4541002, 2.9511218, 0.2028234, 6.1600207, -4.2277333
8.1787073, -2.3564501, -12.6506242, 2.9930285, 0.2183532, 6.0215574, -3.9800141
8.3781879, -2.3815655, -12.8485338, 3.0382508, 0.2353150, 5.8882324, -3.6430632
8.5776686, -2.3973393, -13.0472782, 3.0872055, 0.2555798, 5.7634920, -3.2049490
8.7771493, -2.4029601, -13.2464820, 3.1403700, 0.2793686, 5.6514767, -2.7450653
8.9766299, -2.3974724, -13.4460356, -3.0845754, 0.3040561, 5.5537388, -2.1707313
9.1761106, -2.3799094, -13.6445608, -3.0212103, 0.3318830, 5.4752147, -2.1651963
9.3755913, -2.3492050, -13.8420874, -2.9533694, 0.3403482, 5.3957527, -2.2029156
9.5750719, -2.3051568, -14.0367940, -2.8844396, 0.3497680, 5.3136869, -2.1797468
9.7745526, -2.2475520, -14.2284808, -2.8149602, 0.3476481, 5.2312173, -2.5114877
9.9740332, -2.1765112, -14.4162772, -2.7452445, 0.3405685, 5.1345543, -3.0105543
10.1735139, -2.0935979, -14.5970927, -2.6783643, 0.3268422, 5.0162289, -3.6424667
10.3729946, -1.9995815, -14.7715964, -2.6180140, 0.2798735, 4.8692247, -5.0739913
10.5724752, -1.8948894, -14.9428906, -2.5719236, 0.1619864, 4.6567181, -8.3939094
10.7719559, -1.7858063, -15.1089069, -2.5521328, 0.0447893, 4.2820764, -8.5918183
10.9714366, -1.6758351, -15.2711623, -2.5319338, 0.2326085, 3.8611364, -4.1678140
11.1709172, -1.5583081, -15.4285457, -2.4552164, 0.5953057, 3.6394475, -2.7877921
11.3703979, -1.4202917, -15.5752332, -2.3127413, 0.7632464, 3.4832968, -1.2365639
